n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.1,1.0,1.0
20,5,0.05,0.9696969696969697,0.9333333333333333
30,3,0.05,0.9696969696969697,0.9333333333333333
20,5,0.1,0.9696969696969697,0.9333333333333333
20,3,0.1,0.9696969696969697,0.9333333333333333
30,5,0.05,0.9696969696969697,0.9333333333333333
30,5,0.1,0.9696969696969697,0.9333333333333333
20,3,0.05,0.9393939393939394,0.875
10,3,0.1,0.9393939393939394,0.875
10,5,0.1,0.9393939393939394,0.875
10,5,0.05,0.7878787878787878,0.5882352941176471
10,3,0.05,0.7878787878787878,0.5882352941176471
30,5,0.01,0.7878787878787878,0.5882352941176471
30,3,0.01,0.7878787878787878,0.5882352941176471
20,5,0.01,0.7878787878787878,0.5882352941176471
20,3,0.01,0.7878787878787878,0.5882352941176471
10,5,0.01,0.5757575757575758,0.46153846153846156
10,3,0.01,0.5757575757575758,0.46153846153846156
