lr,epochs,accuracy,f1_score
0.001,10.0,0.4838709677419355,0.4482758620689655
0.001,50.0,0.4838709677419355,0.4482758620689655
0.001,100.0,0.4838709677419355,0.4482758620689655
0.001,150.0,0.4838709677419355,0.4482758620689655
0.05,10.0,0.4838709677419355,0.4482758620689655
0.05,50.0,0.4838709677419355,0.4482758620689655
0.05,100.0,0.4838709677419355,0.4482758620689655
0.05,150.0,0.4838709677419355,0.4482758620689655
0.1,10.0,0.4838709677419355,0.4482758620689655
0.1,50.0,0.4838709677419355,0.4482758620689655
0.1,100.0,0.4838709677419355,0.4482758620689655
0.1,150.0,0.4838709677419355,0.4482758620689655
